356323.16329087 3345909.20303458,357102.04640255 3347975.60852856
353512.34631979 3348040.07898148,354074.62256689 3346476.52125528
353512.34631979 3348040.07898148,354069.82996623 3347754.46734247
369046.79003789 3348096.38097979,369104.31115733 3348142.02511694
368716.16857112 3347926.29745702,368957.41449393 3348146.83244367
368716.16857112 3347926.29745702,368804.41639886 3348170.82443986
368804.41639886 3348170.82443986,368957.41449393 3348146.83244367
331225.39885710 3347952.73054289,331565.95954972 3348184.23190258
369104.31115733 3348142.02511694,369161.45286090 3348187.36371319
331221.20751362 3347962.41825299,331560.75546934 3348191.91733814
369103.99171266 3348197.34001252,369104.31115733 3348142.02511694
369103.99171266 3348197.34001252,369161.45286090 3348187.36371319
361714.40855753 3343823.38111576,369049.74487371 3348220.20252538
353512.34631979 3348040.07898148,353521.31389208 3348220.32569738
368957.41449393 3348146.83244367,369042.03552707 3348228.08716257
369161.45286090 3348187.36371319,369249.17728852 3348259.53797172
369249.17728852 3348259.53797172,369311.73983357 3348306.07611179
368804.41639886 3348170.82443986,368985.95778226 3348314.96211778
368985.95778226 3348314.96211778,369103.99171266 3348197.34001252
369079.98735816 3348249.08105763,369167.41388536 3348335.75660814
369167.41388536 3348335.75660814,369311.73983357 3348306.07611179
354875.16176288 3347628.94488086,354953.80414532 3348429.89724732
354953.80414532 3348429.89724732,355337.36280549 3347725.34856994
368815.39303275 3348484.24826297,368985.95778226 3348314.96211778
369167.41388536 3348335.75660814,369391.19216348 3348559.93450795
369311.73983357 3348306.07611179,369391.19216348 3348559.93450795
368815.39303275 3348484.24826297,368913.00073018 3348578.19297826
368364.66989158 3348326.71251266,368697.06483206 3348601.68891999
368697.06483206 3348601.68891999,368815.39303275 3348484.24826297
354023.74426068 3348668.81971813,354248.58234770 3347728.70556183
368697.06483206 3348601.68891999,368815.71910932 3348698.30635530
368815.71910932 3348698.30635530,368913.00073018 3348578.19297826
368815.71910932 3348698.30635530,368858.39880096 3348733.31991152
368858.39880096 3348733.31991152,368913.00073018 3348578.19297826
354953.80414532 3348429.89724732,354959.28811505 3348843.34318011
368985.95778226 3348314.96211778,369606.00762748 3348859.50854406
353521.31389208 3348220.32569738,353888.52969961 3348872.30902958
353888.52969961 3348872.30902958,354023.74426068 3348668.81971813
368426.64296091 3348878.12614671,368697.06483206 3348601.68891999
354959.28811505 3348843.34318011,355806.11740929 3348911.37898740
368385.53044888 3348923.02518090,368426.64296091 3348878.12614671
366245.12445292 3348807.20676175,366258.38378790 3348925.21676286
331572.95313896 3348189.00223624,333306.84081978 3348939.94409172
339513.58213113 3346578.34559820,341672.51207246 3348942.48175753
331567.18498507 3348196.30832971,333336.65490482 3348957.49708106
354023.74426068 3348668.81971813,354959.28811505 3348843.34318011
366258.38378790 3348925.21676286,366337.49768980 3348978.94038640
357102.04640255 3347975.60852856,357164.47791429 3348989.76747188
363360.29726647 3346690.62449592,366185.16597587 3349011.31945072
366185.16597587 3349011.31945072,366208.83082408 3349035.29388851
366208.83082408 3349035.29388851,366258.38378790 3348925.21676286
369606.00762748 3348859.50854406,369883.95366412 3349087.60552689
366208.83082408 3349035.29388851,366329.02549835 3349087.92730968
357102.04640255 3347975.60852856,357164.47791429 3348989.76747188
366208.83082408 3349035.29388851,366263.07090144 3349148.71231477
366263.07090144 3349148.71231477,366329.02549835 3349087.92730968
368858.39880096 3348733.31991152,369365.00902309 3349166.21933969
369365.00902309 3349166.21933969,369606.00762748 3348859.50854406
366329.02549835 3349087.92730968,366897.25693556 3349291.75546602
368036.81081935 3349311.55960704,368357.41015301 3348953.74614378
369365.00902309 3349166.21933969,369612.64152972 3349398.79508005
369612.64152972 3349398.79508005,369883.95366412 3349087.60552689
365577.40202705 3349451.19507236,366185.16597587 3349011.31945072
368426.64296091 3348878.12614671,369135.03992297 3349468.06004477
369135.03992297 3349468.06004477,369365.00902309 3349166.21933969
368969.93369811 3349673.13752732,369135.03992297 3349468.06004477
369135.03992297 3349468.06004477,369362.65224908 3349681.52757487
369362.65224908 3349681.52757487,369612.64152972 3349398.79508005
353528.02680117 3349744.96962764,353888.52969961 3348872.30902958
334138.15375202 3349361.67652737,334680.97468880 3349746.16375074
334110.93632729 3349355.60489212,334665.51698821 3349747.87201036
353191.04686439 3349751.34158958,353521.31389208 3348220.32569738
353191.04686439 3349751.34158958,353528.02680117 3349744.96962764
353888.52969961 3348872.30902958,354618.76382364 3349776.13437530
353528.02680117 3349744.96962764,354618.76382364 3349776.13437530
366897.25693556 3349291.75546602,367730.09302528 3349790.71257645
367730.09302528 3349790.71257645,367947.32885531 3349416.52366338
354959.28811505 3348843.34318011,355162.14947873 3349865.73799219
368969.93369811 3349673.13752732,369362.65224908 3349681.52757487
366897.25693556 3349291.75546602,367653.00452801 3349876.16487584
367653.00452801 3349876.16487584,367730.09302528 3349790.71257645
369362.65224908 3349681.52757487,369572.49866018 3349878.32995567
354618.76382364 3349776.13437530,355162.14947873 3349865.73799219
352379.46816890 3349805.06102766,353191.04686439 3349751.34158958
368629.65193056 3350003.59195156,368969.93369811 3349673.13752732
369391.19216348 3348559.93450795,372305.08402144 3350125.43311595
369072.32996502 3348257.28649900,372324.24241685 3350149.39374274
334702.56584417 3349761.23606323,335332.69625914 3350204.77563802
334687.93465325 3349763.50828011,335326.97167091 3350213.77522328
367653.00452801 3349876.16487584,368198.14632117 3350431.12721946
368198.14632117 3350431.12721946,368521.27831541 3350111.99300625
343855.76633942 3350442.31376829,352321.28126210 3344419.22868959
366263.07090144 3349148.71231477,367239.76166252 3350553.23010451
367239.76166252 3350553.23010451,367653.00452801 3349876.16487584
355162.14947873 3349865.73799219,356617.04504792 3350626.44388005
356617.04504792 3350626.44388005,357164.47791429 3348989.76747188
322778.93639434 3347559.65304318,325932.97678374 3350684.27509995
367239.76166252 3350553.23010451,368198.14632117 3350431.12721946
413988.94153412 3347339.12200228,414655.10437050 3351115.54342817
368198.14632117 3350431.12721946,368738.54817133 3351333.59135361
368735.63580173 3351388.22835624,368736.26292406 3351487.64836079
353528.02680117 3349744.96962764,353691.08062492 3351522.04951081
368401.32810035 3351699.11308858,368736.26292406 3351487.64836079
369883.95366412 3349087.60552689,372510.85274767 3351713.36583702
335351.23715021 3350217.42285976,337075.66241494 3351801.15612350
335343.56776259 3350225.07704095,337066.17724896 3351808.98031290
337087.26936846 3351807.86750880,337223.33791541 3351886.44634959
337077.24041403 3351815.35612804,337223.50528740 3351899.61420283
356384.94911488 3345778.78657690,365393.53876141 3351968.43208695
365393.53876141 3351968.43208695,367239.76166252 3350553.23010451
341672.51207246 3348942.48175753,343495.50300184 3351992.41402864
343495.50300184 3351992.41402864,343788.24100472 3350534.60316613
